cc_num,first,last,gender,street,city,state,zip,lat,long,job,dob
7932443262243853,Robert,Moore,M,5367 Main St,San Antonio,TX,81765,29.291118,-98.852952,Lawyer,1992-07-26
6756203341592313,Sophia,Thomas,M,198 Main St,Dallas,TX,56162,33.172075,-96.809522,Sales Rep,1956-01-22
2136182547940006,Robert,Brown,M,2663 Cedar St,Chicago,IL,88039,41.584444,-88.09241,Electrician,1970-09-02
1454626874793786,Barbara,Jackson,F,9346 Oak St,New York,NY,98778,40.640458,-73.781931,Software Engineer,1975-11-27
9719143518381081,John,Miller,F,3694 Maple St,Chicago,IL,51744,41.706908,-87.440787,Plumber,1958-08-23
5173060196965550,Jennifer,Jackson,F,5368 Pine St,Phoenix,AZ,54666,33.642271,-112.288643,Teacher,2004-01-24
2718814309208837,John,Martinez,F,2659 Oak St,Dallas,TX,68455,32.735471,-97.221423,Nurse,1955-03-22
5737936561933129,William,White,M,1939 Oak St,San Antonio,TX,23909,29.330701,-98.776119,Lawyer,1976-04-16
1883948393707311,Barbara,Williams,M,3500 Pine St,San Antonio,TX,44459,29.333976,-98.023066,Teacher,1953-12-03
4106781297414539,Sophia,Jackson,M,1087 Pine St,Dallas,TX,37022,32.546272,-97.073385,Police Officer,1999-12-11
3216601431727489,Jennifer,Moore,M,6969 Oak St,Houston,TX,47036,29.860982,-95.146545,Software Engineer,1967-06-12
1427120991612124,Noah,Garcia,M,5935 Oak St,Philadelphia,PA,90997,40.087405,-74.750322,Plumber,2004-10-26
4819628807595566,Liam,Moore,M,2052 Main St,New York,NY,35100,40.708324,-74.238954,Analyst,1991-03-18
5441153454361076,Linda,Smith,M,4487 Pine St,Los Angeles,CA,14517,34.524436,-118.204576,Police Officer,1969-12-23
2047326617199294,William,Taylor,F,1636 Oak St,Chicago,IL,14706,41.391367,-87.175175,Analyst,1984-11-03
9678046331225604,Mary,Garcia,M,1158 Pine St,Philadelphia,PA,74441,39.666465,-75.369965,Software Engineer,1956-03-03
7357461569396062,Susan,White,F,4647 Cedar St,Dallas,TX,46880,32.328306,-96.836661,Electrician,1996-11-15
0528873419735721,Jennifer,Martinez,F,9675 Maple St,San Antonio,TX,74758,29.779042,-98.597314,Pilot,1968-04-02
0483898589623854,Lucas,Rodriguez,M,6916 Main St,New York,NY,36641,40.813542,-73.915675,Nurse,2000-02-25
2697547560964390,William,Taylor,F,3459 Cedar St,Chicago,IL,47711,41.814398,-87.494242,Sales Rep,1971-12-03
9664261369807926,Patricia,Jones,F,4212 Oak St,New York,NY,95719,40.441105,-74.081151,Analyst,1961-11-23
0097110000796026,William,Garcia,M,7635 Maple St,San Diego,CA,63850,32.835726,-117.225883,Sales Rep,1958-09-07
8152520349096420,Robert,Wilson,F,1212 Oak St,Dallas,TX,93437,32.566973,-96.611542,Architect,1995-05-24
